Dimension,Function,Algorithm,Variant,Runs,Best,Worst,Median,Mean,Std,TargetSuccessRate,MedianFEterm
10,2,OPA,LIME-CF,30,0.0031783922145791,73.9992735651353,5.564498320173072,15.705563892386952,25.735289418959542,0.0,200000.0
10,2,OPA,SHAP-CF,30,0.0035738961373112,73.94802522980694,5.080013871805477,17.474833244061323,27.288335027573304,0.0,200000.0
10,2,OPA,Standard,30,0.0401132773894232,74.4642692865454,5.080013871805477,15.418618387986527,26.01010401769794,0.0,200000.0
10,2,PSO,ACME-CF,30,0.122058822173301,72.24842669965051,8.916101927781312,16.732924686887714,18.533694427758565,0.0,200000.0
10,2,PSO,IBREAKDOWN-CF,30,0.122058822173301,72.24842669965051,8.916101927781312,17.933186619415164,18.64843837578388,0.0,200000.0
10,2,PSO,LIME-CF,30,0.122058822173301,72.24842669965045,8.916101927781312,17.186537828537862,18.48737127320316,0.0,200000.0
10,2,PSO,SHAP-CF,30,0.122058822173301,72.24842669965051,8.916101927781312,18.419658652656945,19.255273700051546,0.0,200000.0
10,2,PSO,Standard,30,0.122058822173301,72.24842669965051,8.916101927781312,20.649534944839328,21.353395502993134,0.0,200000.0
10,2,SBOA,ACME-CF,30,0.034107980917156,68.63485234983227,0.3920979887305691,3.1684124500223296,12.434838203179796,0.0,200000.0
10,2,SBOA,IBREAKDOWN-CF,30,0.0908548433174587,70.92316804658776,0.6037708457209305,3.509043821446113,12.827097883254845,0.0,200000.0
10,2,SBOA,LIME-CF,30,0.0620848950869685,70.94097067665399,0.6666774107880542,3.5483393048901726,12.801493225623954,0.0,200000.0
10,2,SBOA,SHAP-CF,30,0.0562846063261872,71.15282914654074,0.6344478631355912,3.5283682706532526,12.84709626865935,0.0,200000.0
10,2,SBOA,Standard,30,0.1106198544509879,70.99576076054217,0.8665681579203408,3.6180097612722326,12.795214617477868,0.0,200000.0
10,2,jSO,ACME-CF,30,3.986579112347158,8.916101927781312,6.031701874764821,6.3755536508472215,2.404604340176107,0.0,200000.0
10,2,jSO,IBREAKDOWN-CF,30,3.986579112347158,8.916101927781312,5.641242048489005,6.35040761872707,2.432235001439677,0.0,200000.0
10,2,jSO,LIME-CF,30,3.986579112347158,8.916101927781312,5.9744847840363775,6.375000454749178,2.378456173369534,0.0,200000.0
10,2,jSO,SHAP-CF,30,3.986579112347158,8.916101927781312,6.156303676265736,6.388916493119992,2.379579474505427,0.0,200000.0
10,2,jSO,Standard,30,3.986579112347158,8.916101927781312,6.0076027566791765,6.369615387496504,2.4092162271950976,0.0,200000.0
10,3,BA,ACME-CF,30,5.4260659680949175e-06,0.0001825099512871,2.866674941515157e-05,4.6152119811416676e-05,4.582731850447224e-05,0.0,200000.0
10,3,BA,IBREAKDOWN-CF,30,9.557272858273792e-05,0.0003590079554669,0.00025145950502285003,0.00024800600363044794,6.389159079303047e-05,0.0,200000.0
10,3,BA,LIME-CF,30,0.0001503034803818,0.0004871309994314,0.00030715774107639997,0.00031404824996641664,8.983578827167073e-05,0.0,200000.0
10,3,BA,SHAP-CF,30,9.425222128811583e-05,0.0004054587951713,0.00022859326293195,0.00023365194468088718,6.762016510811603e-05,0.0,200000.0
10,3,BA,Standard,30,0.0001236917594269,0.0004340302717764,0.00031185164340280004,0.0003004715515543933,7.623673540246189e-05,0.0,200000.0
10,3,GSK,ACME-CF,30,1e-08,0.0117757993150462,1e-08,0.0005121453197125225,0.002204112654300033,0.7666666666666667,25034.5
10,3,GSK,IBREAKDOWN-CF,30,1e-08,0.0253338842474022,1e-08,0.001262290861839921,0.005019606599506958,0.5666666666666667,55131.0
10,3,GSK,LIME-CF,30,1e-08,0.011775524099562,1e-08,0.0004218212963049192,0.0021463601803256753,0.7666666666666667,27639.0
10,3,GSK,SHAP-CF,30,1e-08,0.011655808704404,1e-08,0.0004477224430638715,0.0021222349631272895,0.6666666666666666,28296.5
10,3,GSK,Standard,30,1e-08,0.0255880834289428,2.204444230199442e-08,0.0014246385430091845,0.005063141592081469,0.5,103704.5
10,3,GWO,ACME-CF,30,1.5785303730808664e-08,0.0019687338026415,8.394762289753999e-07,0.0002572021551638154,0.0006329713608365068,0.0,200000.0
10,3,GWO,IBREAKDOWN-CF,30,1e-08,0.001891197380587,4.116440095458529e-07,0.0001709840819062572,0.000517637423223355,0.03333333333333333,200000.0
10,3,GWO,LIME-CF,30,1e-08,0.0019085851382669,9.370301086164545e-07,0.00016671159493144173,0.00050562054023971,0.03333333333333333,200000.0
10,3,GWO,SHAP-CF,30,1e-08,0.0018857170982755,8.495888437209942e-07,0.0002517340946526761,0.0005744156135078533,0.1,200000.0
10,3,GWO,Standard,30,1e-08,0.0019273107410526,4.4188664105604403e-07,0.00012684206172528808,0.0004598452037476847,0.03333333333333333,200000.0
10,3,L-SHADE,ACME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,15004.0
10,3,L-SHADE,IBREAKDOWN-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,14844.5
10,3,L-SHADE,LIME-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,15081.0
10,3,L-SHADE,SHAP-CF,30,1e-08,1e-08,1e-08,1.0000000000000004e-08,3.365285905649484e-24,1.0,14841.5
